门类,专业类,专业名称,专业代码,开设院校,专业满意度,详情页,开设院校页,specId
哲学,哲学类,哲学,010101,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73381059,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73381059,
哲学,哲学类,逻辑学,010102,查看,3.5,https://gaokao.chsi.com.cn/zyk/zybk/detail/73381063,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73381063,
哲学,哲学类,宗教学,010103,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73381067,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73381067,
哲学,哲学类,伦理学,010104,-,-,,,
经济学,经济学类,经济学,020101,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73381079,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73381079,
经济学,经济学类,经济统计学,020102,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/437286851,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=437286851,
经济学,经济学类,国民经济管理,020103,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73381095,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73381095,
经济学,经济学类,资源与环境经济学,020104,查看,3.7,https://gaokao.chsi.com.cn/zyk/zybk/detail/437287109,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=437287109,
经济学,经济学类,商务经济学,020105,查看,3.8,https://gaokao.chsi.com.cn/zyk/zybk/detail/665448572,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=665448572,
经济学,经济学类,能源经济,020106,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/213783542,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=213783542,
经济学,经济学类,劳动经济学,020107,-,-,,,
经济学,经济学类,经济工程,020108,-,-,,,
经济学,经济学类,数字经济,020109,-,5.0,,,
经济学,财政学类,财政学,020201,查看,4.4,https://gaokao.chsi.com.cn/zyk/zybk/detail/73381087,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73381087,
经济学,财政学类,税收学,020202,查看,4.4,https://gaokao.chsi.com.cn/zyk/zybk/detail/73381111,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73381111,
经济学,财政学类,国际税收,020203,-,-,,,
经济学,金融学类,金融学,020301,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73381091,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73381091,
经济学,金融学类,金融工程,020302,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73381107,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73381107,
经济学,金融学类,保险学,020303,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73381103,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73381103,
经济学,金融学类,投资学,020304,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73381127,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73381127,
经济学,金融学类,金融数学,020305,查看,4.4,https://gaokao.chsi.com.cn/zyk/zybk/detail/164249073,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=164249073,
经济学,金融学类,信用管理,020306,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73381115,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73381115,
经济学,金融学类,经济与金融,020307,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73381143,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73381143,
经济学,金融学类,精算学,020308,查看,-,https://gaokao.chsi.com.cn/zyk/zybk/detail/47e7kv0pns0tma1i,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=47e7kv0pns0tma1i,
经济学,金融学类,互联网金融,020309,-,4.8,,,
经济学,金融学类,金融科技,020310,-,5.0,,,
经济学,金融学类,金融审计,020311,-,-,,,
经济学,经济与贸易类,国际经济与贸易,020401,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73381083,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73381083,
经济学,经济与贸易类,贸易经济,020402,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73381099,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73381099,
经济学,经济与贸易类,国际经济发展合作,020403,-,-,,,
法学,法学类,法学,030101,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73381155,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73381155,
法学,法学类,知识产权,030102,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73381159,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73381159,
法学,法学类,监狱学,030103,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73381163,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73381163,
法学,法学类,信用风险管理与法律防控,030104,-,-,,,
法学,法学类,国际经贸规则,030105,-,-,,,
法学,法学类,司法警察学,030106,-,-,,,
法学,法学类,社区矫正,030107,-,-,,,
法学,法学类,纪检监察,030108,-,5.0,,,
法学,法学类,国际法,030109,-,-,,,
法学,法学类,司法鉴定学,030110,-,-,,,
法学,法学类,国家安全学,030111,-,-,,,
法学,法学类,海外利益安全,030112,-,-,,,
法学,政治学类,政治学与行政学,030201,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383203,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383203,
法学,政治学类,国际政治,030202,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383207,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383207,
法学,政治学类,外交学,030203,查看,3.7,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383211,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383211,
法学,政治学类,国际事务与国际关系,030204,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383223,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383223,
法学,政治学类,政治学、经济学与哲学,030205,-,-,,,
法学,政治学类,国际组织与全球治理,030206,-,-,,,
法学,社会学类,社会学,030301,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383179,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383179,
法学,社会学类,社会工作,030302,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383183,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383183,
法学,社会学类,人类学,030303,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383191,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383191,
法学,社会学类,女性学,030304,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383195,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383195,
法学,社会学类,家政学,030305,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383187,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383187,
法学,社会学类,老年学,030306,-,-,,,
法学,社会学类,社会政策,030307,-,-,,,
法学,民族学类,民族学,030401,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383759,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383759,
法学,马克思主义理论类,科学社会主义,030501,-,-,,,
法学,马克思主义理论类,中国共产党历史,030502,-,3.9,,,
