门类,专业类,专业名称,专业代码,开设院校,专业满意度,详情页,开设院校页,specId
法学,马克思主义理论类,思想政治教育,030503,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383215,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383215,
法学,马克思主义理论类,马克思主义理论,030504,查看,-,https://gaokao.chsi.com.cn/zyk/zybk/detail/qu1quiwlzpc0jjm6,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=qu1quiwlzpc0jjm6,
法学,马克思主义理论类,工会学,030505,-,-,,,
法学,公安学类,治安学,030601,查看,4.5,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383227,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383227,
法学,公安学类,侦查学,030602,查看,4.6,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383231,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383231,
法学,公安学类,边防管理,030603,查看,3.7,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383235,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383235,
法学,公安学类,禁毒学,030604,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383243,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383243,
法学,公安学类,警犬技术,030605,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383247,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383247,
法学,公安学类,经济犯罪侦查,030606,查看,4.5,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383251,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383251,
法学,公安学类,边防指挥,030607,-,-,,,
法学,公安学类,消防指挥,030608,-,3.9,,,
法学,公安学类,警卫学,030609,-,-,,,
法学,公安学类,公安情报学,030610,查看,4.7,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383267,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383267,
法学,公安学类,犯罪学,030611,查看,4.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383271,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383271,
法学,公安学类,公安管理学,030612,查看,4.6,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383275,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383275,
法学,公安学类,涉外警务,030613,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383279,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383279,
法学,公安学类,国内安全保卫,030614,查看,-,https://gaokao.chsi.com.cn/zyk/zybk/detail/213783546,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=213783546,
法学,公安学类,警务指挥与战术,030615,查看,4.6,https://gaokao.chsi.com.cn/zyk/zybk/detail/213768887,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=213768887,
法学,公安学类,技术侦查学,030616,-,-,,,
法学,公安学类,海警执法,030617,-,-,,,
法学,公安学类,公安政治工作,030618,-,-,,,
法学,公安学类,移民管理,030619,-,-,,,
法学,公安学类,出入境管理,030620,-,-,,,
法学,公安学类,反恐警务,030621,-,-,,,
法学,公安学类,消防政治工作,030622,-,-,,,
法学,公安学类,铁路警务,030623,-,5.0,,,
教育学,教育学类,教育学,040101,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383287,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383287,
教育学,教育学类,科学教育,040102,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383315,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383315,
教育学,教育学类,人文教育,040103,查看,3.7,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383311,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383311,
教育学,教育学类,教育技术学,040104,查看,3.8,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383299,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383299,
教育学,教育学类,艺术教育,040105,查看,3.8,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383307,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383307,
教育学,教育学类,学前教育,040106,查看,4.4,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383291,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383291,
教育学,教育学类,小学教育,040107,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383303,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383303,
教育学,教育学类,特殊教育,040108,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383295,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383295,
教育学,教育学类,华文教育,040109,-,-,,,
教育学,教育学类,教育康复学,040110,-,-,,,
教育学,教育学类,卫生教育,040111,-,-,,,
教育学,教育学类,认知科学与技术,040112,-,-,,,
教育学,教育学类,融合教育,040113,-,-,,,
教育学,教育学类,劳动教育,040114,-,-,,,
教育学,教育学类,家庭教育,040115,-,-,,,
教育学,教育学类,孤独症儿童教育,040116,-,-,,,
教育学,教育学类,人工智能教育,040117,-,-,,,
教育学,教育学类,婴幼儿发展与健康管理,040118,-,-,,,
教育学,体育学类,体育教育,040201,查看,4.4,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383331,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383331,
教育学,体育学类,运动训练,040202,查看,4.6,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383335,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383335,
教育学,体育学类,社会体育指导与管理,040203,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383339,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383339,
教育学,体育学类,武术与民族传统体育,040204,查看,4.6,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383347,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383347,
教育学,体育学类,运动人体科学,040205,查看,3.6,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383343,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383343,
教育学,体育学类,运动康复,040206,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383351,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383351,
教育学,体育学类,休闲体育,040207,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383355,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383355,
教育学,体育学类,体能训练,040208,-,-,,,
教育学,体育学类,冰雪运动,040209,-,-,,,
教育学,体育学类,电子竞技运动与管理,040210,-,-,,,
教育学,体育学类,智能体育工程,040211,-,-,,,
教育学,体育学类,体育旅游,040212,-,-,,,
教育学,体育学类,运动能力开发,040213,-,-,,,
教育学,体育学类,足球运动,040214,-,-,,,
教育学,体育学类,马术运动与管理,040215,-,-,,,
教育学,体育学类,体育康养,040216,-,-,,,
教育学,体育学类,航空运动,040217,-,-,,,
文学,中国语言文学类,汉语言文学,050101,查看,4.4,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383455,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383455,
文学,中国语言文学类,汉语言,050102,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383459,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383459,
文学,中国语言文学类,汉语国际教育,050103,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383463,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383463,
文学,中国语言文学类,中国少数民族语言文学,050104,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383467,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383467,
文学,中国语言文学类,古典文献学,050105,-,4.3,,,
文学,中国语言文学类,应用语言学,050106,-,4.8,,,
文学,中国语言文学类,秘书学,050107,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383435,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383435,
文学,中国语言文学类,中国语言与文化,050108,-,-,,,
文学,中国语言文学类,手语翻译,050109,-,-,,,
文学,中国语言文学类,数字人文,050110,-,-,,,
文学,中国语言文学类,中国古典学,050111,-,-,,,
文学,中国语言文学类,汉学与中国学,050112,-,-,,,
文学,中国语言文学类,应用中文,050113,-,-,,,
文学,外国语言文学类,桑戈语,050200,-,-,,,
文学,外国语言文学类,英语,050201,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383483,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383483,
文学,外国语言文学类,俄语,050202,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383487,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383487,
文学,外国语言文学类,德语,050203,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383491,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383491,
文学,外国语言文学类,法语,050204,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383495,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383495,
文学,外国语言文学类,西班牙语,050205,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383499,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383499,
文学,外国语言文学类,阿拉伯语,050206,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383503,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383503,
文学,外国语言文学类,日语,050207,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383507,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383507,
文学,外国语言文学类,波斯语,050208,-,4.0,,,
文学,外国语言文学类,朝鲜语,050209,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383515,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383515,
文学,外国语言文学类,菲律宾语,050210,-,-,,,
文学,外国语言文学类,语言学,0502100,-,-,,,
文学,外国语言文学类,塔玛齐格特语,0502101,-,-,,,
文学,外国语言文学类,爪哇语,0502102,-,-,,,
文学,外国语言文学类,旁遮普语,0502103,-,-,,,
文学,外国语言文学类,区域国别学,0502104,-,-,,,
文学,外国语言文学类,梵语巴利语,050211,-,-,,,
文学,外国语言文学类,印度尼西亚语,050212,查看,4.5,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383519,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383519,
文学,外国语言文学类,印地语,050213,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383523,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383523,
文学,外国语言文学类,柬埔寨语,050214,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383527,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383527,
文学,外国语言文学类,老挝语,050215,-,4.3,,,
文学,外国语言文学类,缅甸语,050216,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383535,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383535,
文学,外国语言文学类,马来语,050217,查看,4.4,https://gaokao.chsi.com.cn/zyk/zybk/detail/164247005,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=164247005,
文学,外国语言文学类,蒙古语,050218,-,-,,,
文学,外国语言文学类,僧伽罗语,050219,-,-,,,
文学,外国语言文学类,泰语,050220,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383539,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383539,
文学,外国语言文学类,乌尔都语,050221,-,3.4,,,
文学,外国语言文学类,希伯来语,050222,-,-,,,
文学,外国语言文学类,越南语,050223,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383543,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383543,
文学,外国语言文学类,豪萨语,050224,-,-,,,
文学,外国语言文学类,斯瓦希里语,050225,-,-,,,
文学,外国语言文学类,阿尔巴尼亚语,050226,-,-,,,
文学,外国语言文学类,保加利亚语,050227,-,-,,,
文学,外国语言文学类,波兰语,050228,-,5.0,,,
文学,外国语言文学类,捷克语,050229,-,-,,,
文学,外国语言文学类,斯洛伐克语,050230,-,-,,,
文学,外国语言文学类,罗马尼亚语,050231,-,-,,,
文学,外国语言文学类,葡萄牙语,050232,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383555,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383555,
文学,外国语言文学类,瑞典语,050233,-,-,,,
文学,外国语言文学类,塞尔维亚语,050234,-,-,,,
文学,外国语言文学类,土耳其语,050235,-,3.7,,,
文学,外国语言文学类,希腊语,050236,-,-,,,
文学,外国语言文学类,匈牙利语,050237,-,-,,,
文学,外国语言文学类,意大利语,050238,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383571,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383571,
文学,外国语言文学类,泰米尔语,050239,-,-,,,
文学,外国语言文学类,普什图语,050240,-,-,,,
文学,外国语言文学类,世界语,050241,-,-,,,
文学,外国语言文学类,孟加拉语,050242,-,-,,,
文学,外国语言文学类,尼泊尔语,050243,-,-,,,
文学,外国语言文学类,克罗地亚语,050244,-,-,,,
文学,外国语言文学类,荷兰语,050245,-,-,,,
文学,外国语言文学类,芬兰语,050246,-,3.8,,,
文学,外国语言文学类,乌克兰语,050247,-,-,,,
文学,外国语言文学类,挪威语,050248,-,-,,,
文学,外国语言文学类,丹麦语,050249,-,-,,,
文学,外国语言文学类,冰岛语,050250,-,-,,,
文学,外国语言文学类,爱尔兰语,050251,-,-,,,
文学,外国语言文学类,拉脱维亚语,050252,-,-,,,
文学,外国语言文学类,立陶宛语,050253,-,-,,,
文学,外国语言文学类,斯洛文尼亚语,050254,-,-,,,
文学,外国语言文学类,爱沙尼亚语,050255,-,-,,,
文学,外国语言文学类,马耳他语,050256,-,-,,,
文学,外国语言文学类,哈萨克语,050257,-,-,,,
文学,外国语言文学类,乌兹别克语,050258,-,-,,,
文学,外国语言文学类,祖鲁语,050259,-,-,,,
文学,外国语言文学类,拉丁语,050260,-,-,,,
文学,外国语言文学类,翻译,050261,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383587,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383587,
文学,外国语言文学类,商务英语,050262,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383583,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383583,
文学,外国语言文学类,阿姆哈拉语,050263,-,-,,,
文学,外国语言文学类,吉尔吉斯语,050264,-,-,,,
文学,外国语言文学类,索马里语,050265,-,-,,,
文学,外国语言文学类,土库曼语,050266,-,-,,,
文学,外国语言文学类,加泰罗尼亚语,050267,-,-,,,
文学,外国语言文学类,约鲁巴语,050268,-,-,,,
文学,外国语言文学类,亚美尼亚语,050269,-,-,,,
文学,外国语言文学类,马达加斯加语,050270,-,-,,,
文学,外国语言文学类,格鲁吉亚语,050271,-,-,,,
文学,外国语言文学类,阿塞拜疆语,050272,-,-,,,
文学,外国语言文学类,阿非利卡语,050273,-,-,,,
文学,外国语言文学类,马其顿语,050274,-,-,,,
文学,外国语言文学类,塔吉克语,050275,-,-,,,
文学,外国语言文学类,茨瓦纳语,050276,-,-,,,
文学,外国语言文学类,恩德贝莱语,050277,-,-,,,
文学,外国语言文学类,科摩罗语,050278,-,-,,,
文学,外国语言文学类,克里奥尔语,050279,-,-,,,
文学,外国语言文学类,绍纳语,050280,-,-,,,
文学,外国语言文学类,提格雷尼亚语,050281,-,-,,,
文学,外国语言文学类,白俄罗斯语,050282,-,-,,,
文学,外国语言文学类,毛利语,050283,-,-,,,
文学,外国语言文学类,汤加语,050284,-,-,,,
文学,外国语言文学类,萨摩亚语,050285,-,-,,,
文学,外国语言文学类,库尔德语,050286,-,-,,,
文学,外国语言文学类,比斯拉马语,050287,-,-,,,
文学,外国语言文学类,达里语,050288,-,-,,,
文学,外国语言文学类,德顿语,050289,-,-,,,
文学,外国语言文学类,迪维希语,050290,-,-,,,
文学,外国语言文学类,斐济语,050291,-,-,,,
文学,外国语言文学类,库克群岛毛利语,050292,-,-,,,
文学,外国语言文学类,隆迪语,050293,-,-,,,
文学,外国语言文学类,卢森堡语,050294,-,-,,,
文学,外国语言文学类,卢旺达语,050295,-,-,,,
文学,外国语言文学类,纽埃语,050296,-,-,,,
文学,外国语言文学类,皮金语,050297,-,-,,,
文学,外国语言文学类,切瓦语,050298,-,-,,,
文学,外国语言文学类,塞苏陀语,050299,-,-,,,
文学,新闻传播学类,新闻学,050301,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383599,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383599,
文学,新闻传播学类,广播电视学,050302,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383603,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383603,
文学,新闻传播学类,广告学,050303,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383607,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383607,
文学,新闻传播学类,传播学,050304,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383615,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383615,
文学,新闻传播学类,编辑出版学,050305,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383611,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383611,
文学,新闻传播学类,网络与新媒体,050306,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/437287088,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=437287088,
文学,新闻传播学类,数字出版,050307,-,4.0,,,
文学,新闻传播学类,时尚传播,050308,-,-,,,
文学,新闻传播学类,国际新闻与传播,050309,-,-,,,
文学,新闻传播学类,会展,050310,-,-,,,
历史学,历史学类,历史学,060101,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383743,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383743,
历史学,历史学类,世界史,060102,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383747,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383747,
历史学,历史学类,考古学,060103,查看,4.4,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383751,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383751,
历史学,历史学类,文物与博物馆学,060104,-,4.0,,,
历史学,历史学类,文物保护技术,060105,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383763,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383763,
历史学,历史学类,外国语言与外国历史,060106,-,-,,,
历史学,历史学类,文化遗产,060107,-,-,,,
历史学,历史学类,古文字学,060108,-,-,,,
历史学,历史学类,科学史,060109,-,-,,,
理学,数学类,数学与应用数学,070101,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383775,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383775,
理学,数学类,信息与计算科学,070102,查看,3.8,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383779,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383779,
理学,数学类,数理基础科学,070103,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383783,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383783,
理学,数学类,数据计算及应用,070104,-,-,,,
